ArticleNumber;Category;Gender;Description
1255405;Kettingen;Kinderen;Zilveren kinderketting met hanger infinity BFF
1291613;Armbanden;Dames;Zilveren armband levensboom zirkonia
1379627;Horloges;Unisex;Casio Retro horloge A168WEGC-3EF
1195449;Ringen;Dames;Zilveren ring met licht blauwe Swarovski Crystals
1310047;Cadeau Sets;Dames;Red Carpet byoux set ketting met oorbellen
1223521;Ringen;Dames;Geelgouden ring met zirkonia
1409122;Trouwringen;Heren;14k bicolor gouden trouwring Heren Clematis
1294515;Horloges;Heren;Casio Illuminator horloge AE-1300WH-4AVEF
1429369;Kettingen;Dames;Zilveren ketting&hanger hart moeder/dochter
1276111;Horloges;Heren;Lorus heren horloge RXN41CX9
1258922;Armbanden;Dames;Stalen armband mesh goldplated letter met kristal
1312581;Kettingen;Dames;Zilveren ketting met hanger hart/goldplated cirkel
1303168;Trouwringen;Dames;14K geelgouden trouwring diamant Pioenroos hrt H76
1305186;Oorbellen;Dames;14 Karaat geelgouden oorbellen sneeuwvlok
1335672;Kettingen;Dames;Zilveren ketting&hanger mat/glans met zirkonia
1156286;Oorbellen;Kinderen;Goldplated kinderoorbellen met kristallen
1368008;Trouwringen;Dames;9K gele trouwring Dames Rozemarijn
1351094;Horloges;Dames;Emporio Armani horloge AR0344
1278589;Trouwringen;Heren;14K witte trouwring Heren Rozemarijn
1275823;Armbanden;Dames;Stalen armband franse gourmetschakel
1429679;Geschenkartikelen;Unisex;Liefde voor mama - kaart
1286842;Ringen;Heren;Stalen zegelring mat met kruis
1198825;Horloges;Heren;Regal horloge met een bruine band
1437007;Ringen;Heren;Stalen ring schakel mat 5mm
1439593;Ringen;Dames;Zilveren ring met zirkonia
1309778;Cadeau Sets;Dames;Zilveren set open hart met zirkonia
1369887;Kettingen;Kinderen;Stalen ketting schakel met blackplating
1218804;Oorbellen;Dames;Goudkleurige byoux statement oorbellen
1139314;Ringen;Dames;Stalen ring met kristal
1227061;Oorbellen;Dames;Zilveren oorbellen halve maan/galaxy ster
1314904;Horloges;Heren;Lorus heren horloge RJ608AX9
1340143;Trouwringen;Dames;14K rosegouden trouwring  diamant Oleander H170R
1176393;Cadeau Sets;Dames;Zilveren set ketting&oorbellen met zirkonia
1183079;Trouwringen;Dames;14K rosegouden trouwring  diamant Amaryllis H202R
1341740;Horloges;Dames;Jacques Lemans horloge 40-2B
1303616;Trouwringen;Dames;14K rose trouwring Gentle dames H237R
1234503;Armbanden;Dames;Stalen armband gold bol/disc
